trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
78014_05_366_38079,22:17:00,22:17:00,000000040100002,29,,3,3,,
78014_05_366_38079,22:18:00,22:18:00,000000007800002,30,,3,3,,
78014_05_366_38079,22:19:00,22:19:00,000000037800002,31,,3,3,,
78014_05_366_38079,22:20:00,22:20:00,000000043400002,32,,3,3,,
78014_05_366_38079,22:21:00,22:21:00,000000010700002,33,,3,3,,
78014_05_366_38079,22:22:00,22:22:00,000000007100002,34,,3,3,,
78014_05_366_38079,22:23:00,22:23:00,000000051600004,35,,0,0,,
78014_02_370_38080,22:26:00,22:26:00,000000000600004,0,,3,3,,
78014_02_370_38080,22:28:00,22:28:00,000000044700002,1,,3,3,,
78014_02_370_38080,22:29:00,22:29:00,000000046700002,2,,3,3,,
78014_02_370_38080,22:30:00,22:30:00,000000020700002,3,,3,3,,
78014_02_370_38080,22:30:00,22:30:00,000000040000002,4,,3,3,,
78014_02_370_38080,22:32:00,22:32:00,000000040100002,5,,3,3,,
78014_02_370_38080,22:33:00,22:33:00,000000007800002,6,,3,3,,
78014_02_370_38080,22:34:00,22:34:00,000000037800002,7,,3,3,,
78014_02_370_38080,22:35:00,22:35:00,000000043400002,8,,3,3,,
78014_02_370_38080,22:36:00,22:36:00,000000010700002,9,,3,3,,
78014_02_370_38080,22:37:00,22:37:00,000000007100002,10,,3,3,,
78014_02_370_38080,22:38:00,22:38:00,000000051600004,11,,0,0,,
78014_01_378_38081,22:41:00,22:41:00,000000000600004,24,,3,3,,
78014_01_378_38081,22:43:00,22:43:00,000000044700002,25,,3,3,,
78014_01_378_38081,22:44:00,22:44:00,000000046700002,26,,3,3,,
78014_01_378_38081,22:45:00,22:45:00,000000020700002,27,,3,3,,
78014_01_378_38081,22:45:00,22:45:00,000000040000002,28,,3,3,,
78014_01_378_38081,22:47:00,22:47:00,000000040100002,29,,3,3,,
78014_01_378_38081,22:48:00,22:48:00,000000007800002,30,,3,3,,
78014_01_378_38081,22:49:00,22:49:00,000000037800002,31,,3,3,,
78014_01_378_38081,22:50:00,22:50:00,000000043400002,32,,3,3,,
78014_01_378_38081,22:51:00,22:51:00,000000010700002,33,,3,3,,
78014_01_378_38081,22:52:00,22:52:00,000000007100002,34,,3,3,,
78014_01_378_38081,22:53:00,22:53:00,000000051600004,35,,0,0,,
78014_03_382_38082,22:56:00,22:56:00,000000000600004,0,,3,3,,
78014_03_382_38082,22:58:00,22:58:00,000000044700002,1,,3,3,,
78014_03_382_38082,22:59:00,22:59:00,000000046700002,2,,3,3,,
78014_03_382_38082,23:00:00,23:00:00,000000020700002,3,,3,3,,
78014_03_382_38082,23:00:00,23:00:00,000000040000002,4,,3,3,,
78014_03_382_38082,23:02:00,23:02:00,000000040100002,5,,3,3,,
78014_03_382_38082,23:03:00,23:03:00,000000007800002,6,,3,3,,
78014_03_382_38082,23:04:00,23:04:00,000000037800002,7,,3,3,,
78014_03_382_38082,23:05:00,23:05:00,000000043400002,8,,3,3,,
78014_03_382_38082,23:06:00,23:06:00,000000010700002,9,,3,3,,
78014_03_382_38082,23:07:00,23:07:00,000000007100002,10,,3,3,,
78014_03_382_38082,23:08:00,23:08:00,000000051600004,11,,0,0,,
78014_02_386_38083,23:11:00,23:11:00,000000000600004,24,,3,3,,
78014_02_386_38083,23:13:00,23:13:00,000000044700002,25,,3,3,,
78014_02_386_38083,23:14:00,23:14:00,000000046700002,26,,3,3,,
78014_02_386_38083,23:15:00,23:15:00,000000020700002,27,,3,3,,
78014_02_386_38083,23:15:00,23:15:00,000000040000002,28,,3,3,,
78014_02_386_38083,23:17:00,23:17:00,000000040100002,29,,3,3,,
78014_02_386_38083,23:18:00,23:18:00,000000007800002,30,,3,3,,
78014_02_386_38083,23:19:00,23:19:00,000000037800002,31,,3,3,,
78014_02_386_38083,23:20:00,23:20:00,000000043400002,32,,3,3,,
78014_02_386_38083,23:21:00,23:21:00,000000010700002,33,,3,3,,
78014_02_386_38083,23:22:00,23:22:00,000000007100002,34,,3,3,,
78014_02_386_38083,23:23:00,23:23:00,000000051600004,35,,0,0,,
78014_04_390_38084,23:26:00,23:26:00,000000000600004,0,,3,3,,
78014_04_390_38084,23:28:00,23:28:00,000000044700002,1,,3,3,,
78014_04_390_38084,23:29:00,23:29:00,000000046700002,2,,3,3,,
78014_04_390_38084,23:30:00,23:30:00,000000020700002,3,,3,3,,
78014_04_390_38084,23:30:00,23:30:00,000000040000002,4,,3,3,,
78014_04_390_38084,23:32:00,23:32:00,000000040100002,5,,3,3,,
78014_04_390_38084,23:33:00,23:33:00,000000007800002,6,,3,3,,
78014_04_390_38084,23:34:00,23:34:00,000000037800002,7,,3,3,,
78014_04_390_38084,23:35:00,23:35:00,000000043400002,8,,3,3,,
78014_04_390_38084,23:36:00,23:36:00,000000010700002,9,,3,3,,
78014_04_390_38084,23:37:00,23:37:00,000000007100002,10,,3,3,,
78014_04_390_38084,23:38:00,23:38:00,000000051600004,11,,0,0,,
78014_01_15_38085,04:42:00,04:42:00,000000051600003,22,,0,0,,
78014_01_15_38085,04:44:00,04:44:00,000000007100001,23,,3,3,,
78014_01_15_38085,04:45:00,04:45:00,000000010700001,24,,3,3,,
78014_01_15_38085,04:45:00,04:45:00,000000043400001,25,,3,3,,
78014_01_15_38085,04:46:00,04:46:00,000000037800001,26,,3,3,,
78014_01_15_38085,04:47:00,04:47:00,000000007800001,27,,3,3,,
78014_01_15_38085,04:48:00,04:48:00,000000040100001,28,,3,3,,
78014_01_15_38085,04:50:00,04:50:00,000000040000001,29,,3,3,,
78014_01_15_38085,04:51:00,04:51:00,000000020700001,30,,3,3,,
78014_01_15_38085,04:52:00,04:52:00,000000046700001,31,,3,3,,
78014_01_15_38085,04:52:00,04:52:00,000000044700001,32,,3,3,,
78014_01_15_38085,04:54:00,04:54:00,000000000600003,33,,3,3,,
78014_05_23_38086,04:57:00,04:57:00,000000051600003,22,,0,0,,
78014_05_23_38086,04:59:00,04:59:00,000000007100001,23,,3,3,,
78014_05_23_38086,05:00:00,05:00:00,000000010700001,24,,3,3,,
78014_05_23_38086,05:00:00,05:00:00,000000043400001,25,,3,3,,
78014_05_23_38086,05:01:00,05:01:00,000000037800001,26,,3,3,,
78014_05_23_38086,05:02:00,05:02:00,000000007800001,27,,3,3,,
78014_05_23_38086,05:03:00,05:03:00,000000040100001,28,,3,3,,
78014_05_23_38086,05:05:00,05:05:00,000000040000001,29,,3,3,,
78014_05_23_38086,05:06:00,05:06:00,000000020700001,30,,3,3,,
78014_05_23_38086,05:07:00,05:07:00,000000046700001,31,,3,3,,
78014_05_23_38086,05:07:00,05:07:00,000000044700001,32,,3,3,,
78014_05_23_38086,05:09:00,05:09:00,000000000600003,33,,3,3,,
78014_02_29_38087,05:12:00,05:12:00,000000051600003,12,,0,0,,
78014_02_29_38087,05:14:00,05:14:00,000000007100001,13,,3,3,,
78014_02_29_38087,05:15:00,05:15:00,000000010700001,14,,3,3,,
