route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1014,Prac.dny_0,1014_03_5_1,Úrad vlády SR,,0,,TRA_00000,1,
1014,Prac.dny_0,1014_03_9_2,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_01_11_3,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_13_4,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_19_5,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_25_6,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_27_7,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_31_8,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_37_9,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_41_10,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_45_11,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_49_12,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_51_13,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_55_14,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_57_15,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_61_16,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_04_65_17,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_67_18,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_69_19,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_73_20,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_75_21,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_77_22,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_83_23,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_04_87_24,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_89_25,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_95_26,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_97_27,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_101_28,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_105_29,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_107_30,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_04_109_31,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_113_32,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_115_33,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_119_34,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_121_35,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_125_36,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_127_37,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_04_131_38,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_133_39,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_139_40,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_141_41,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_147_42,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_149_43,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_155_44,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_04_157_45,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_161_46,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_165_47,Úrad vlády SR,,0,,TRA_00000,,
1014,Prac.dny_0,1014_02_169_48,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_173_49,Úrad vlády SR,,0,,TRA_00000,,
1014,Prac.dny_0,1014_03_177_50,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_07_181_51,Úrad vlády SR,,0,,TRA_00000,,
1014,Prac.dny_0,1014_04_185_52,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_195_53,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_199_54,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_203_55,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_209_56,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_213_57,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_219_58,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_223_59,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_229_60,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_233_61,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_239_62,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_243_63,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_249_64,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_253_65,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_259_66,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_263_67,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_269_68,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_273_69,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_279_70,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_283_71,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_289_72,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_293_73,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_299_74,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_03_303_75,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_309_76,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_313_77,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_02_317_78,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_323_79,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_329_80,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_331_81,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_01_337_82,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_06_343_83,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_02_345_84,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_05_351_85,Nám. Ľ. Štúra,,0,,TRA_00001,,
1014,Prac.dny_0,1014_03_353_86,Nám. Ľ. Štúra,,0,,TRA_00001,1,
1014,Prac.dny_0,1014_04_359_87,Nám. Ľ. Štúra,,0,,TRA_00001,,
